"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물병원","02_03_01_P","3620000","362000001020120004","2012-12-24","","03","폐업","0002","폐업","2021-09-27","","","","251-1255","83.84","","광주광역시 북구 두암동 927-1","광주광역시 북구 삼정로 95 (두암동)","61157","엔젤동물병원","2021-10-31 19:10:35","U","2021-11-02 02:40:00","","194205.75","185704.245","동물병원","","000","0",
"2","동물병원","02_03_01_P","3620000","362000001020130001","2013-03-12","","03","폐업","0002","폐업","2014-12-16","","","","576-7093","0","","광주광역시 북구 신용동 691번지","광주광역시 북구 첨단연신로91번길 44, 105호 (신용동, 대성빌딩)","61087","첨단동물병원","2014-12-17 08:54:20","I","2018-08-31 23:59:59","","187131.958565515","189712.30999955","동물병원","","000","",
"3","동물병원","02_03_01_P","3620000","362000001020150003","2015-05-26","","03","폐업","0002","폐업","2023-04-04","","","","224-7582","99.84","","광주광역시 북구 오치동 1028-27","광주광역시 북구 서하로 319-1 (오치동)","61124","김앤강 동물병원","2023-04-04 11:37:21","U","2023-04-06 02:40:00","","192235.320008497","187547.250035065","동물병원","","000","0",
"4","동물병원","02_03_01_P","3620000","362000001020160001","2016-01-21","","03","폐업","0002","폐업","2017-01-03","","","","0625712808","0","","광주광역시 북구 본촌동 378-6번지","광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)","61027","광주광역시동물보호소부속동물병원","2017-01-03 14:31:16","I","2018-08-31 23:59:59","","189132.523692258","191478.416598073","동물병원","","L00","",
"5","동물병원","02_03_01_P","3620000","362000001019910001","1991-07-10","","03","폐업","0002","폐업","2018-12-12","","","","529-7775","36","","광주광역시 북구 양산동 273-7번지","광주광역시 북구 하서로 367 (양산동)","","운암동물병원","2019-01-22 16:47:05","U","2019-01-24 02:40:00","","188395.475650556","189857.2851877","동물병원","","000","",
"6","동물병원","02_03_01_P","3620000","362000001019960001","1996-04-17","","03","폐업","0002","폐업","2023-02-02","","","","262-5535","101.5","","광주광역시 북구 우산동 232-10","광주광역시 북구 동문대로 79 (우산동)","","말바우동물병원","2023-02-02 15:16:35","U","2023-02-04 02:40:00","","192872.097145115","185795.706104298","동물병원","","000","0",
"7","동물병원","02_03_01_P","3620000","362000001020170001","2017-01-05","","03","폐업","0002","폐업","2017-12-23","","","","","0","","","광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)","61027","광주동물보호소 부속 동물병원","2018-01-17 11:18:17","I","2018-08-31 23:59:59","","189132.523692258","191478.416598073","동물병원","","L00","",
"8","동물병원","02_03_01_P","3450000","345000001019810005","1981-08-24","","03","폐업","0002","폐업","2009-12-31","","","","941-1529","235.02","","대구광역시 북구 대현동 229-19번지","대구광역시 북구 대현로 27 (대현동)","","북부동물병원","2009-12-31 09:51:14","I","2018-08-31 23:59:59","","344723.182424024","266253.208998211","동물병원","","000","",
"9","동물병원","02_03_01_P","3450000","345000001019920001","1992-04-13","","03","폐업","0002","폐업","2021-12-31","","","","959-1523","65.8","","대구광역시 북구 산격동 495-42","대구광역시 북구 동북로 193 (산격동)","","복현동물병원","2022-01-05 10:10:20","U","2022-01-07 02:40:00","","345625.376383058","267650.325316263","동물병원","","000","0",
"10","동물병원","02_03_01_P","3450000","345000001019930001","1993-08-10","","03","폐업","0002","폐업","1993-08-10","","","","","0","","대구광역시 북구 대현동 270-13  번지","","","세진동물병원","2003-05-16 11:53:08","I","2018-08-31 23:59:59","","","","동물병원","","000","",
"11","동물병원","02_03_01_P","3450000","345000001020000002","2000-08-10","","03","폐업","0002","폐업","2012-09-17","","","","424-2455","168","","대구광역시 북구 침산동 222-7번지","대구광역시 북구 침산남로 157 (침산동)","","플러스동물병원","2012-09-13 13:15:26","I","2018-08-31 23:59:59","","343791.501347674","266469.513718704","동물병원","","000","",
"12","동물병원","02_03_01_P","3450000","345000001020020001","2002-08-09","","03","폐업","0002","폐업","2006-05-15","","","","325-7965","493.83","","대구광역시 북구 읍내동 443-3번지","","","강북동물병원약품","2006-05-15 17:33:01","I","2018-08-31 23:59:59","","","","동물병원","","000","",
"13","동물병원","02_03_01_P","3450000","345000001020030001","2003-03-14","","03","폐업","0002","폐업","2013-11-25","","","","952-7975","48.26","","대구광역시 북구 동변동 686-3번지","대구광역시 북구 동변로 80 (동변동)","","수동물병원","2013-11-25 17:41:58","I","2018-08-31 23:59:59","","344690.195496385","270065.929361158","동물병원","","000","",
"14","동물병원","02_03_01_P","3450000","345000001019810002","1981-08-24","","03","폐업","0002","폐업","2006-02-27","","","","","366.7","","대구광역시 북구 태전동 476-1번지","대구광역시 북구 칠곡중앙대로46길 12 (태전동)","","대성동물병원","2006-02-27 17:55:29","I","2018-08-31 23:59:59","","339769.451964412","269656.70907137","동물병원","","000","",
"15","동물병원","02_03_01_P","3450000","345000001019810003","1981-08-24","","03","폐업","0002","폐업","2000-06-09","","","","","0","","대구광역시 북구 노원동3가 772-2   번지","","","천일동물병원","2003-05-16 11:44:48","I","2018-08-31 23:59:59","","","","동물병원","","000","",
